1,AD,Europe/Andorra,"Andorra, Europe",42.5407167,1.5732033,2.0
2,AE,Asia/Dubai,"Dubai, Asia",25.0762646,55.1389608,4.0
3,AF,Asia/Kabul,"Kabul, Asia",34.5260131,69.1776476,4.5
4,AG,America/Antigua,"Antigua, America",4.4373572,-75.2355401,-5.0
7,AM,Asia/Yerevan,"Yerevan, Asia",40.1776121,44.5125849,4.0
8,AO,Africa/Luanda,"Luanda, Africa",-8.8271655,13.2436665,1.0
9,AQ,Antarctica/McMurdo,"McMurdo, Antarctica",-77.8444732,166.6696371,12.0
10,AQ,Antarctica/Casey,"Casey, Antarctica",-66.282111,110.5255278,12.0
11,AQ,Antarctica/Davis,"Davis, Antarctica",-68.5763888,77.9688889,12.0
13,AQ,Antarctica/Mawson,"Mawson, Antarctica",-67.6140999,62.8597,12.0
14,AQ,Antarctica/Palmer,"Palmer, Antarctica",-64.7749533,-64.0509097,12.0
15,AQ,Antarctica/Rothera,"Rothera, Antarctica",-67.5692193,-68.1221662,12.0
17,AQ,Antarctica/Troll,"Troll, Antarctica",-72.0116588,2.5355412,12.0
18,AQ,Antarctica/Vostok,"Vostok, Antarctica",-78.4642714,106.8364678,12.0
19,AR,America/Argentina/Buenos_Aires,"Argentina, America",-40.81750225,-63.0084845334394,-3.0
20,AR,America/Argentina/Cordoba,"Argentina, America",-40.81750225,-63.0084845334394,-3.0
21,AR,America/Argentina/Salta,"Argentina, America",-40.81750225,-63.0084845334394,-3.0
22,AR,America/Argentina/Jujuy,"Argentina, America",-40.81750225,-63.0084845334394,-3.0
23,AR,America/Argentina/Tucuman,"Argentina, America",-40.81750225,-63.0084845334394,-3.0
24,AR,America/Argentina/Catamarca,"Argentina, America",-40.81750225,-63.0084845334394,-3.0
25,AR,America/Argentina/La_Rioja,"Argentina, America",-40.81750225,-63.0084845334394,-3.0
26,AR,America/Argentina/San_Juan,"Argentina, America",-40.81750225,-63.0084845334394,-3.0
27,AR,America/Argentina/Mendoza,"Argentina, America",-40.81750225,-63.0084845334394,-3.0
28,AR,America/Argentina/San_Luis,"Argentina, America",-40.81750225,-63.0084845334394,-3.0
29,AR,America/Argentina/Rio_Gallegos,"Argentina, America",-40.81750225,-63.0084845334394,-3.0
30,AR,America/Argentina/Ushuaia,"Argentina, America",-40.81750225,-63.0084845334394,-3.0
32,AT,Europe/Vienna,"Vienna, Europe",48.2083537,16.3725042,2.0
35,AU,Australia/Hobart,"Hobart, Australia",-42.8825087,147.3281233,10.0
36,AU,Australia/Currie,"Currie, Australia",-39.9312628,143.8493952,10.0
37,AU,Australia/Melbourne,"Melbourne, Australia",-37.8142175,144.9631608,10.0
38,AU,Australia/Sydney,"Sydney, Australia",-33.8548156,151.2164539,10.0
40,AU,Australia/Brisbane,"Brisbane, Australia",-27.4689681,153.0234991,10.0
41,AU,Australia/Lindeman,"Lindeman, Australia",-20.4395614,149.0391566,10.0
42,AU,Australia/Adelaide,"Adelaide, Australia",-34.9274283,138.599899,9.5
43,AU,Australia/Darwin,"Darwin, Australia",-12.4604399,130.8410469,9.5
44,AU,Australia/Perth,"Perth, Australia",-31.952712,115.8604796,8.0
45,AU,Australia/Eucla,"Eucla, Australia",-31.6768406,128.8865164,8.75
48,AZ,Asia/Baku,"Baku, Asia",40.3754289,49.8328549,4.0
49,BA,Europe/Sarajevo,"Sarajevo, Europe",43.8519774,18.3866868,2.0
51,BD,Asia/Dhaka,"Dhaka, Asia",23.7358758,90.3653186,6.0
52,BE,Europe/Brussels,"Brussels, Europe",50.8465565,4.351697,2.0
53,BF,Africa/Ouagadougou,"Ouagadougou, Africa",12.368148,-1.5270849,0.0
54,BG,Europe/Sofia,"Sofia, Europe",42.6977211,23.3225964,3.0
55,BH,Asia/Bahrain,"Bahrain, Asia",26.1551249,50.5344606,3.0
56,BI,Africa/Bujumbura,"Bujumbura, Africa",-3.3638124,29.3675028,2.0
57,BJ,Africa/Porto-Novo,"Porto-Novo, Africa",6.4990718,2.6253361,1.0
59,BM,Atlantic/Bermuda,"Bermuda, Atlantic",32.253009,-64.8389963,-3.0
60,BN,Asia/Brunei,"Brunei, Asia",4.4137155,114.5653908,8.0
61,BO,America/La_Paz,"La_Paz, America",10.8996731,124.94517,8.0
62,BQ,America/Kralendijk,"Kralendijk, America",12.1597453,-68.2777266,-4.0
63,BR,America/Noronha,"Noronha, America",-25.5113631,-54.5578964,-3.0
64,BR,America/Belem,"Belem, America",-29.1550891,-51.1708404,-3.0
65,BR,America/Fortaleza,"Fortaleza, America",-3.7523232,-38.5423766,-3.0
66,BR,America/Recife,"Recife, America",-8.1971665,-34.9357966943824,-3.0
68,BR,America/Maceio,"Maceio, America",-9.5626601,-35.7104924,-3.0
69,BR,America/Bahia,"Bahia, America",-11.4515905,-41.4356564,-3.0
72,BR,America/Cuiaba,"Cuiaba, America",-15.637285,-56.1752274,-4.0
73,BR,America/Santarem,"Santarem, America",-3.5458263,-54.6072536653248,-3.0
75,BR,America/Boa_Vista,"Boa_Vista, America",2.8303846,-60.7208041,-4.0
76,BR,America/Manaus,"Manaus, America",-3.1233602,-60.0353659,-4.0
79,BS,America/Nassau,"Nassau, America",30.5409865,-81.8651452,-4.0
80,BT,Asia/Thimphu,"Thimphu, Asia",27.4727617,89.629548,6.0
81,BW,Africa/Gaborone,"Gaborone, Africa",-24.6553189,25.908728,2.0
82,BY,Europe/Minsk,"Minsk, Europe",53.8116145,27.6972143,3.0
83,BZ,America/Belize,"Belize, America",17.0700087,-89.1363893,-6.0
85,CA,America/Halifax,"Halifax, America",50.8558402,0.580714,1.0
90,CA,America/Toronto,"Toronto, America",43.76829985,-79.3728986441822,-4.0
98,CA,America/Resolute,"Resolute, America",75.1569224,-94.9868721434756,-5.0
100,CA,America/Regina,"Regina, America",-39.1107597,-67.0958361,-3.0
106,CA,America/Creston,"Creston, America",45.4757069,-122.648678361249,-7.0
109,CA,America/Vancouver,"Vancouver, America",45.6226489,-122.55533475,-7.0
111,CA,America/Dawson,"Dawson, America",31.262651,-85.3813999,-5.0
113,CD,Africa/Kinshasa,"Kinshasa, Africa",-4.3217054,15.3125974,1.0
114,CD,Africa/Lubumbashi,"Lubumbashi, Africa",-11.6642315,27.4826264,2.0
116,CG,Africa/Brazzaville,"Brazzaville, Africa",-4.2694406,15.2712256,1.0
117,CH,Europe/Zurich,"Zurich, Europe",47.3642857,8.5471411,2.0
118,CI,Africa/Abidjan,"Abidjan, Africa",5.307716,-4.0119254,0.0
119,CK,Pacific/Rarotonga,"Rarotonga, Pacific",-27.93699045,153.318864365943,10.0
120,CL,America/Santiago,"Santiago, America",-33.4588164,-70.7551577,-3.0
122,CL,Pacific/Easter,"Easter, Pacific",7.0715297,125.5061346,8.0
123,CM,Africa/Douala,"Douala, Africa",4.0429674,9.7061981,1.0
124,CN,Asia/Shanghai,"Shanghai, Asia",31.2253441,121.4888922,8.0
125,CN,Asia/Urumqi,"Urumqi, Asia",43.8058709,87.6064713,8.0
126,CO,America/Bogota,"Bogota, America",3.8410931,-74.2871371,-5.0
128,CU,America/Havana,"Havana, America",23.0939516,-82.3091287,-4.0
130,CW,America/Curacao,"Curacao, America",12.1164316,-86.2474638,-6.0
131,CX,Indian/Christmas,"Christmas, Indian",38.1061648,-86.9166606,-5.0
134,CZ,Europe/Prague,"Prague, Europe",50.07894045,14.4785100049238,2.0
135,DE,Europe/Berlin,"Berlin, Europe",54.0363605,10.4461313,2.0
136,DE,Europe/Busingen,"Busingen, Europe",47.69686005,8.69210911949364,2.0
137,DJ,Africa/Djibouti,"Djibouti, Africa",11.85677545,42.7577845199437,3.0
138,DK,Europe/Copenhagen,"Copenhagen, Europe",55.6867243,12.5700724,2.0
139,DM,America/Dominica,"Dominica, America",-33.4265797,-70.6413169,-3.0
140,DO,America/Santo_Domingo,"Santo_Domingo, America",18.5023124,-69.9707285,-4.0
